"id","title","longitude","latitude","city","area","room_type","floor","size","oriented","price","unit_price","decoration","Fangtianxia_data_source","age","elevator"
"81","西城区马连道红莲南里 南北通透三居 满两年随时签","116.34082794189453125000","39.88505554199218750000","北京","西城","3室1厅1卫","低层楼层（共6层）","67.98平米","南北","6200000","91203元/平米","精装修","3","1986年","无"
"82","北京奥园源墅！洋房、叠拼、联排、即将发售全新品质、单价2.2","116.84729003906250000000","40.47304153442382812500","北京","密云","3室2厅2卫","低层地上层数（共1层）","115平米","南","2220000","19304元/平米","毛坯","3","2017年","无"
"83","航天桥 西三环86号院 96年新楼 中间层东西通透","116.31763458251953125000","39.93248748779296875000","北京","海淀","2室1厅1卫","中层楼层（共7层）","63.23平米","东西","6100000","96473元/平米","简装修","3","1992年","无"
"84","香河外地人可买项目巨富九景湾正常首付价格低于市场价","116.91282653808593750000","39.70203781127929687500","北京","北京周边","2室2厅1卫","高层楼层（共28层）","79平米","南","1020000","12911元/平米","毛坯","3","2013年","无"
"85","温泉花园 商品房 总价低 南部通透73平米 285万","116.41967010498046875000","40.13536834716796875000","北京","昌平","2室1厅1卫","高层楼层（共6层）","72.05平米","南北","2850000","39556元/平米","精装修","3","1995年","有"
"86","1%中介费！石门苑。南北通透。总价低。看房有钥匙","116.63900756835937500000","40.13570785522460937500","北京","顺义","2室1厅1卫","中层楼层（共6层）","70.15平米","南北","2630000","37491元/平米","简装修","3","2002年","有"
"87","6月新房推荐，华贸7号楼南北三居，主卧南北，户型方正，看房随时","116.48630523681640625000","39.91711044311523437500","北京","朝阳","3室2厅2卫","低层楼层（共27层）","152.67平米","南北","13400000","87771元/平米","精装修","3","2005年","有"
"88","富力丹麦小镇 一层下跃 地下明亮","116.31871795654296875000","39.63230895996093750000","北京","大兴","4室2厅3卫","低层地上层数（共6层）","217.04平米","东","6800000","31331元/平米","精装修","3","2012年","无"
"89","北辰红橡墅毛坯房，370平米中户型1350万。看房方便。","116.41317749023437500000","40.14827728271484375000","北京","昌平","4室3厅5卫","低层地上层数（共1层）","367平米","南","13500000","36785元/平米","毛坯","3","2006年","无"
"90","兴运嘉园+电梯房+电梯房+客厅朝阳++价格可谈","116.00803375244140625000","40.47344589233398437500","北京","延庆","2室1厅1卫","中层楼层（共11层）","92.04平米","南","2400000","26076元/平米","中装修","3","2005年","无"
"91","直降40万+首付360万+双卫设计+精心装修+一梯两户+接受换房周期","116.50930786132812500000","39.90313720703125000000","北京","朝阳","3室2厅2卫","低层楼层（共6层）","138平米","南北","8600000","62319元/平米","精装修","3","2008年","有"
"92","房山良乡北潞春家园，明厨明卫，交通便利，购物方便","116.13848876953125000000","39.74786376953125000000","北京","房山","2室2厅2卫","中层楼层（共6层）","106平米","西北","2700000","25472元/平米","精装修","3","2001年","无"
"93","小区大两居 南向 两居室 精装修 有赠送面积","116.32522583007812500000","39.67797470092773437500","北京","大兴","2室1厅1卫","低层楼层（共27层）","79.66平米","南","3500000","43937元/平米","简装修","3","2014年","无"
"94","我有钥匙，中信城毛坯房，高楼层视野好，临4/7号菜市口！","116.38282775878906250000","39.89196014404296875000","北京","西城","3室2厅2卫","中层楼层（共23层）","128.33平米","南北","21000000","163641元/平米","毛坯","3","2009年","无"
"95","东亚瑞晶苑 全南向一居室 看房随时 客厅送阳台","116.55133819580078125000","39.74736785888671875000","北京","通州","1室1厅1卫","高层楼层（共21层）","62.9平米","南","2060000","32750元/平米","简装修","3","2008年","无"
"96","中建国际城 精装朝南两居室 高楼层 看房方便","116.64669799804687500000","40.12160873413085937500","北京","顺义","2室1厅1卫","高层楼层（共15层）","81平米","东南","3700000","45679元/平米","简装修","3","无","无"
"97","第七街区中堂阅园紫辰园，南北，三居室，户型方正，有钥匙","116.28515625000000000000","39.88845825195312500000","北京","丰台","3室2厅2卫","中层楼层（共18层）","152.13平米","南北","10500000","69020元/平米","简装修","3","2005年","无"
"98","新金山一室一厅一卫","116.44337463378906250000","39.92627716064453125000","北京","朝阳","1室1厅1卫","中层楼层（共24层）","58平米","东","3300000","56897元/平米","简装修","3","2009年","无"
"99","万年花城四期，首经贸，南北双通透三居室，方便看，保持好","116.32159423828125000000","39.85194778442382812500","北京","丰台","3室2厅2卫","高层楼层（共14层）","124平米","南北","8300000","66935元/平米","精装修","3","2007年","有"
"100","军人品质为您把关雄安新区旁霸州铂悦山首付10%外地人可买","116.38584899902343750000","39.12163162231445312500","北京","北京周边","3室1厅2卫","低层楼层（共11层）","92平米","南北","950000","10326元/平米","毛坯","3","2013年","无"
"101","双主卧套房+客厅朝南，装修保养好，","116.44519805908203125000","39.95415115356445312500","北京","东城","3室2厅3卫","低层楼层（共26层）","242平米","南","25990000","107397元/平米","精装修","3","2007年","有"
"102","东北三环 西坝河东里 正规三居室 南北通透精装修","116.45049285888671875000","39.97099685668945312500","北京","朝阳","3室1厅1卫","低层楼层（共5层）","59.96平米","南北","4900000","81721元/平米","精装修","3","1985年","有"
"103","大兴北部 兴创屹墅法式宫廷联排别墅 干挂石材外立面 上三下一","116.33851623535156250000","39.77363204956054687500","北京","大兴","5室3厅5卫","低层地上层数（共5层）","475平米","南","28500000","60000元/平米","毛坯","3","2013年","无"
"104","马家堡四号线出行便利，小区中间位置，中高楼层，产权清晰。","116.37464141845703125000","39.84455108642578125000","北京","丰台","3室2厅1卫","中层楼层（共20层）","109.47平米","西南","6300000","57550元/平米","精装修","3","2006年","有"
"105","海淀田村三居室360万 交通便利","116.23622894287109375000","39.93277359008789062500","北京","海淀","3室2厅2卫","高层楼层（共6层）","59平米","南北","3600000","61017元/平米","精装修","3","2013年","有"
"106","珠江帝景南北六居复式 前后 户型方正 房主","116.48622131347656250000","39.89560699462890625000","北京","朝阳","5室2厅3卫","高层楼层（共21层）","268.27平米","南北","24000000","89462元/平米","豪华装修","3","2004年","有"
"107","劲松 潘家园 东三环10号线 武圣西里 三居室","116.47349548339843750000","39.88421249389648437500","北京","朝阳","3室1厅1卫","中层楼层（共6层）","77.49平米","南北","4780000","61685元/平米","精装修","3","1986年","无"
"108","新出：大平层+保养好++3层+价可谈！看房18888850307","116.29820251464843750000","39.97663879394531250000","北京","海淀","4室3厅3卫","中层楼层（共5层）","306平米","南北","56000000","183007元/平米","豪华装修","3","2008年","有"
"109","东直门！南北通透大3室+户型方正+私梯入户+西南北观景+随时看房","116.44519805908203125000","39.95415115356445312500","北京","东城","4室2厅3卫","中层楼层（共30层）","303.61平米","南北","36000000","118573元/平米","豪华装修","3","2005年","无"
"110","通州东 大厂潮白新城 70年产权 公园 均价一万二","116.96295928955078125000","39.89611816406250000000","北京","北京周边","2室1厅1卫","中层楼层（共28层）","83平米","南北","1070000","12892元/平米","毛坯","3","2018年","无"
"111","孔雀城英国宫，有房本，首付60，靠谱出售，一套","116.85198974609375000000","39.86542510986328125000","北京","北京周边","2室2厅1卫","中层楼层（共24层）","84.36平米","南","1350000","16003元/平米","毛坯","3","2014年","有"
"112","业主 精装南向大两居 满五","116.61146545410156250000","39.92005157470703125000","北京","朝阳","2室1厅1卫","高层楼层（共28层）","102.08平米","南","5680000","55643元/平米","精装修","3","2008年","无"
"113","什刹海 新街口 南北通透2居室 采光好 户型方正","116.38291931152343750000","39.94894790649414062500","北京","西城","2室1厅1卫","中层楼层（共6层）","58.1平米","南北","8600000","148021元/平米","中装修","3","1988年","无"
"114","东大街站 东西向两居室 楼下是 诚心出售","116.30227661132812500000","39.87129592895507812500","北京","丰台","2室1厅1卫","中层楼层（共6层）","59.52平米","东西","3400000","57124元/平米","精装修","3","1992年","无"
"115","京通苑西南大一居，式管理，满五惟一，喧嚣的城市给您一个家","116.60378265380859375000","39.91958236694335937500","北京","朝阳","2室1厅1卫","高层楼层（共24层）","69平米","东南","3200000","46377元/平米","中装修","3","1998年","有"
"116","二里庄小区一室一厅一卫","116.37255096435546875000","40.00219726562500000000","北京","海淀","1室1厅1卫","高层楼层（共6层）","42平米","西南","4060000","96667元/平米","中装修","3","1994年","无"
"117","景区山水四合院","116.56893920898437500000","40.34030532836914062500","北京","怀柔","5室2厅4卫","高层楼层（共1层）","240平米","南","2400000","10000元/平米","毛坯","3","2018年","无"
"118","世纪城三期南北三居室+中高层不临街+双卧朝南+带车位+金源","116.28887939453125000000","39.96892547607421875000","北京","海淀","3室2厅2卫","低层楼层（共13层）","134平米","南北","13000000","97015元/平米","简装修","3","2004年","有"
"119","房子满五年一房 南北通透 采光不错 明厨明卫","116.13597869873046875000","39.74816894531250000000","北京","房山","3室1厅2卫","中层楼层（共6层）","120.58平米","南北","3080000","25543元/平米","精装修","3","2005年","有"
"120","四环 海淀 田村六号线 丹青府南北两居室 房主","116.24857330322265625000","39.93485260009765625000","北京","海淀","2室2厅1卫","高层楼层（共12层）","88.2平米","南北","7100000","80499元/平米","简装修","3","2009年","有"
"121","公园地产，8、15双线、绿城好房子、供您选择、这个三居让您有家","116.38417053222656250000","40.00372695922851562500","北京","朝阳","3室2厅2卫","中层楼层（共20层）","142平米","西南","16300000","114789元/平米","豪华装修","3","2012年","有"
"122","燕郊潮白人家 精装修南向两居 采光好 靠谱出售","116.79810333251953125000","39.95450210571289062500","北京","燕郊","2室2厅1卫","中层楼层（共12层）","78.06平米","南","1640000","21009元/平米","精装修","3","2000年","有"
"123","四环半、颐和园旁千平独栋、12.8米大采光面！毛坯房","116.29170989990234375000","40.00184249877929687500","北京","海淀","4室4厅6卫","低层地上层数（共2层）","750平米","南","83010000","110680元/平米","毛坯","3","2000年","无"
"124","区域主推+五为一+管家+可+拎包住+随时看房","116.48292541503906250000","39.90258026123046875000","北京","朝阳","3室2厅2卫","中层楼层（共16层）","147.29平米","南北","12000000","81472元/平米","精装修","3","2008年","无"
